Exps,Sim,NTraj,Ts,Hp,Wv,nSOM,nCOM,nNLM,sD,sN,Du,Qa,fRw,Wgh,mRw,nEps,Qx,Qy,Qz,Rx,Ry,Rz,RMSE,TOV
1,0,6,0.02,25,0,4,4,0,0,0,1,0,1,1,-10,25,1,1,1,0.299374084749128,0.299374084749128,0.299374084749128,1.15075937192065,0
1,1,6,0.02,25,0,4,4,0,0,0,1,0,1,1,-1000,25,0.0539854016130783,0.0539854016130783,0.0539854016130783,1,1,1,12.7450471473686,0
1,2,6,0.02,25,0.3,4,4,10,0,0,1,0,1,1,-10,25,0.90565084316262,0.90565084316262,0.90565084316262,1,1,1,5.33678782327665,0
2,0,6,0.02,25,0,4,4,0,0,0,1,0,1,1,-10,25,0.731555281314434,0.731555281314434,0.731555281314434,1,1,1,1.14355834746521,0.777628607142857
2,0,6,0.025,20,0,4,4,0,0,0,1,0,1,1,-10,25,1,1,1,0.302450679545887,0.302450679545887,0.302450679545887,1.83995625547657,0.441619365714286
2,0,6,0.015,30,0,4,4,0,0,0,1,0,1,1,-10,10,0.525516573097308,0.525516573097308,0.525516573097308,1,1,1,0.70864474978233,1.40765828571429
2,0,6,0.02,25,0,4,4,0,0,0,0,0,1,1,-10,25,1,1,1,0.612339943531386,0.612339943531386,0.612339943531386,1.14593886697659,0.792955864285714
2,0,6,0.025,20,0,4,4,0,0,0,0,0,1,1,-10,20,1,1,1,0.668941949293714,0.668941949293714,0.668941949293714,1.86005207206082,0.45436356
2,0,6,0.015,30,0,4,4,0,0,0,0,0,1,1,-10,15,1,1,1,0.655911838866685,0.655911838866685,0.655911838866685,0.72808220435811,1.46023424761905
3,0,6,0.02,25,0,4,4,0,0,0,0,0,1,1,-10,25,1,1,1,0.612339943531386,0.612339943531386,0.612339943531386,1.14593886697659,0.792955864285714
3,0,6,0.02,25,0,4,4,0,0,0,1,0,1,1,-10,25,0.733152747698445,0.733152747698445,0.733152747698445,1,1,1,1.14355993852529,0.723406528571429
3,0,6,0.02,25,0,4,4,0,0,0,0,1,1,1,-10,25,1,1,1,0.288389899549444,0.288389899549444,0.288389899549444,1.33946663010296,0.70452665
3,0,6,0.02,25,0,4,4,0,0,0,1,1,1,1,-10,50,1,1,1,0.815498138930767,0.815498138930767,0.815498138930767,1.27582644609609,0.745962128571429
3,0,6,0.02,25,0,4,4,0,0,0,0,0,3,1,-10,25,1,1,1,0.613012322134658,0.613012322134658,0.613012322134658,1.20215658173398,0.69619255
3,0,6,0.02,25,0,4,4,0,0,0,1,0,3,1,-10,25,0.721752958931344,0.721752958931344,0.721752958931344,1,1,1,1.14355018840051,0.769304228571429
3,0,6,0.02,25,0,4,4,0,0,0,0,1,3,1,-10,25,1,1,1,0.289726824294126,0.289726824294126,0.289726824294126,1.33975726720254,0.640152071428571
3,0,6,0.02,25,0,4,4,0,0,0,1,1,3,1,-10,25,1,1,1,0.820972399582171,0.820972399582171,0.820972399582171,1.27582155177255,0.736303364285714
3,0,6,0.02,25,0,4,4,0,0,0,0,0,1,2,-10,50,0.691291091746852,0.0799784900961356,1,0.618862359438855,0.618862359438855,0.618862359438855,1.17606991379561,0.647412135714286
3,0,6,0.02,25,0,4,4,0,0,0,1,0,1,2,-10,60,0.119369327309543,0.105057119418936,1,0.290406967148105,0.290406967148105,0.290406967148105,1.09627763698327,0.773842471428571
3,0,6,0.02,25,0,4,4,0,0,0,0,1,1,2,-10,50,0.985049149057135,0.0781061963002119,1,0.291713131122941,0.291713131122941,0.291713131122941,1.31740957052218,0.589517635714286
3,0,6,0.02,25,0,4,4,0,0,0,1,1,1,2,-10,40,0.161697023037121,0.100603801946458,1,0.132759884675808,0.132759884675808,0.132759884675808,1.24851786525589,0.654337978571429
3,0,6,0.02,25,0,4,4,0,0,0,0,0,3,2,-10,30,0.972533447663439,0.0780410901928506,1,0.620198819215796,0.620198819215796,0.620198819215796,1.1767636789497,0.592798492857143
3,0,6,0.02,25,0,4,4,0,0,0,1,0,3,2,-10,90,0.134852771791986,0.100763804216618,1,0.287102805886086,0.287102805886086,0.287102805886086,1.09644514453324,0.795971471428571
3,0,6,0.02,25,0,4,4,0,0,0,0,1,3,2,-10,40,1,0.0726366269045142,0.802718945917525,0.248593977152311,0.248593977152311,0.248593977152311,1.31909815477071,0.626832278571429
3,0,6,0.02,25,0,4,4,0,0,0,1,1,3,2,-10,50,0.731993543068154,0.089951547504631,1,0.130979976564583,0.130979976564583,0.130979976564583,1.2560394857781,0.9621715
3,0,6,0.02,25,0,4,4,0,0,0,0,0,1,3,-10,80,0.779991719457123,1,0.114686383947309,0.479468890260178,0.614710231275135,0.0704988936003592,1.20223719265737,0.636143864285714
3,0,6,0.02,25,0,4,4,0,0,0,1,0,1,3,-10,30,0.823592802217338,1,0.903649693547772,1.18066604504864,1.43355556516517,1.29543204714521,1.14354318648677,0.801957121428571
3,0,6,0.02,25,0,4,4,0,0,0,0,1,1,3,-10,30,0.617335088493987,0.774234248477505,1,0.183468109776015,0.230097554374483,0.297193717310954,1.34030373303994,0.651268471428571
3,0,6,0.02,25,0,4,4,0,0,0,1,1,1,3,-10,30,0.955388746838599,0.681826983456705,1,0.789423356498468,0.563383384630286,0.82628496422078,1.27581969744762,0.773344057142857
3,0,6,0.02,25,0,4,4,0,0,0,0,0,3,3,-10,30,1,0.493582413201429,0.317970192694547,0.629902840777903,0.310908964233593,0.200290327660992,1.20289406207497,0.661610935714286
3,0,6,0.02,25,0,4,4,0,0,0,1,0,3,3,-10,20,0.751563714171888,1,0.91812591564497,1.04498334679709,1.39041218607594,1.2765734614649,1.14354857142723,0.936670271428571
3,0,6,0.02,25,0,4,4,0,0,0,0,1,3,3,-10,30,0.929421491025509,1,0.450726669048055,0.281355718064744,0.302721338791403,0.136444580683217,1.34085847540383,0.606759657142857
3,0,6,0.02,25,0,4,4,0,0,0,1,1,3,3,-10,10,1,0.900467388268382,0.464120561899801,0.849164941830867,0.764645337379513,0.394114909948154,1.27582953161613,0.797728321428571
3,2,6,0.02,25,0.3,4,4,10,0,0,0,0,1,1,-10,20,0.552285553728425,0.552285553728425,0.552285553728425,1,1,1,4.84983932962044,0.77516855
3,2,6,0.02,25,0.3,4,4,10,0,0,1,0,1,1,-10,55,0.720823445407664,0.720823445407664,0.720823445407664,1,1,1,4.5995795504693,1.04728802857143
3,2,6,0.02,25,0.3,4,4,10,0,0,0,1,1,1,-10,120,1,1,1,0.626571383880204,0.626571383880204,0.626571383880204,4.7433471840566,0.894547807142858
3,2,6,0.02,25,0.3,4,4,10,0,0,1,1,1,1,-10,50,1,1,1,0.395282074055906,0.395282074055906,0.395282074055906,4.67852628152732,1.0789363
3,2,6,0.02,25,0.3,4,4,10,0,0,1,0,3,1,-10,100,0.735870009114965,0.735870009114965,0.735870009114965,1,1,1,4.35383795744695,0.978893457142858
4,0,6,0.02,25,0,4,4,0,0,0,1,0,3,1,-10,25,0.721752958931344,0.721752958931344,0.721752958931344,1,1,1,1.14355018840051,0.769304228571429
4,0,6,0.02,25,0,4,4,0,0,0,1,0,3,2,-10,90,0.134852771791986,0.100763804216618,1,0.287102805886086,0.287102805886086,0.287102805886086,1.09644514453324,0.795971471428571
4,0,8,0.02,25,0,4,4,0,0,0,1,0,3,1,-10,20,0.380054425615398,0.380054425615398,0.380054425615398,1,1,1,1.02466646518279,0.938871433333333
