ExpSetN,SimType,NTraj,Ts,Hp,nSOM,nCOM,LastEpoch,NEpochs,NSamples,MinRwd,Th_WQ,Th_WR,Th_WT,Th_ubound,Th_gbound
1,0,6,0.02,25,4,4,50,5,10,-100,1,0.141689134490178,0.416669944605552,0.00642311608336075,0.000590226676209113
1,1,6,0.02,25,4,4,60,5,10,-100,0.15328929432864,1,0.386795709519777,0.00341439602588966,0.00128865716838314
1,2,6,0.02,25,4,4,20,5,10,-100,0.650401302174217,0.876676070067119,1,0.00473426987139925,0.000561923787566861
1,0,6,0.025,20,4,4,100,5,10,-100,1,0.256546707160103,0.979324904907944,0.00533737775143503,0.000998028240546994
1,0,6,0.015,30,4,4,50,5,10,-100,1,0.160944509075868,0.664286280042835,0.00706538580530825,0.00018928700521253
1,0,13,0.02,25,4,4,25,5,10,-100,1,0.177324514417938,0.763335459257911,0.00517060277994342,0.000262781597204694
1,0,15,0.02,25,4,4,30,5,10,-100,1,0.106773710748774,0.479718949735769,0.00741922345581425,0.000671092736746081
2,0,6,0.02,25,4,4,25,5,10,-10,1,0.299374084749128,0,0,0
2,1,6,0.02,25,4,4,5,5,10,-500,0.54012450955788,1,0,0,0
2,1,6,0.02,25,4,4,25,5,10,-1000,0.0539854016130783,1,0,0,0
2,2,6,0.02,25,4,4,5,5,10,-1000,0.791057310212849,1,0,0,0
2,2,6,0.02,25,4,4,25,5,10,-10,0.90565084316262,1,0,0,0
3,0,6,0.02,25,4,4,25,5,10,-10,0.731555281314434,1,0,0,0
3,0,6,0.025,20,4,4,25,5,10,-10,1,0.302450679545887,0,0,0
3,0,6,0.015,30,4,4,10,5,10,-10,0.525516573097308,1,0,0,0
