%time,field.header.seq,field.header.stamp,field.header.frame_id,field.name0,field.name1,field.name2,field.name3,field.name4,field.name5,field.name6,field.position0,field.position1,field.position2,field.position3,field.position4,field.position5,field.position6,field.velocity0,field.velocity1,field.velocity2,field.velocity3,field.velocity4,field.velocity5,field.velocity6,field.effort0,field.effort1,field.effort2,field.effort3,field.effort4,field.effort5,field.effort6
1624447980921565129,730,1624447980922412559,,iri_wam_joint_1,iri_wam_joint_2,iri_wam_joint_3,iri_wam_joint_4,iri_wam_joint_5,iri_wam_joint_6,iri_wam_joint_7,-1.56692485147,0.143759792422,0.000684181612747,2.03559250552,-0.00300470463606,0.941421405184,0.00503449823218,0.0182564702389,0.0135711814166,0.0227995524973,0.0425984305577,0.0395243170122,-0.0395243170121,0.0513577863386,-0.433909194095,-10.1728553676,-0.414051843588,-5.57198649604,-0.0542379360266,0.0348312832087,0.0110322543995
1624447980921654452,731,1624447980922536550,,iri_wam_joint_1,iri_wam_joint_2,iri_wam_joint_3,iri_wam_joint_4,iri_wam_joint_5,iri_wam_joint_6,iri_wam_joint_7,-1.56692485147,0.143759792422,0.000684181612747,2.03559250552,-0.00300470463606,0.941421405184,0.00503449823218,0.0182564702389,0.0135711814166,0.0227995524973,0.0425984305577,0.0395243170122,-0.0395243170121,0.0513577863386,-0.433909194095,-10.1728553676,-0.414051843588,-5.57198649604,-0.0542379360266,0.0348312832087,0.0110322543995
1624447981021690543,732,1624447981022547290,,iri_wam_joint_1,iri_wam_joint_2,iri_wam_joint_3,iri_wam_joint_4,iri_wam_joint_5,iri_wam_joint_6,iri_wam_joint_7,-1.56692485147,0.143759792422,0.000684181612747,2.03550728437,-0.00300470463606,0.941421405184,0.00503449823218,0.0182608227172,0.0,0.0,0.0,0.0,0.0,-0.0513700304169,-0.438851050518,-10.1349785118,-0.420019948325,-5.53742025896,-0.0310083787943,0.0410249380329,0.0350543641012
1624447981021792382,733,1624447981022653846,,iri_wam_joint_1,iri_wam_joint_2,iri_wam_joint_3,iri_wam_joint_4,iri_wam_joint_5,iri_wam_joint_6,iri_wam_joint_7,-1.56692485147,0.143759792422,0.000684181612747,2.03550728437,-0.00300470463606,0.941421405184,0.00503449823218,0.0182608227172,0.0,0.0,0.0,0.0,0.0,-0.0513700304169,-0.438851050518,-10.1349785118,-0.420019948325,-5.53742025896,-0.0310083787943,0.0410249380329,0.0350543641012
1624447981122834131,734,1624447981122746633,,iri_wam_joint_1,iri_wam_joint_2,iri_wam_joint_3,iri_wam_joint_4,iri_wam_joint_5,iri_wam_joint_6,iri_wam_joint_7,-1.56692485147,0.143759792422,0.000684181612747,2.03559250552,-0.00292563346143,0.941500476358,0.00503449823218,0.0,0.0,0.0,0.0,0.0,0.0,-0.0513822803348,-0.420752404625,-10.1383882781,-0.403873375156,-5.54598279424,-0.0329643114309,0.0378184665008,0.0301236214211
1624447981122931832,735,1624447981122746633,,iri_wam_joint_1,iri_wam_joint_2,iri_wam_joint_3,iri_wam_joint_4,iri_wam_joint_5,iri_wam_joint_6,iri_wam_joint_7,-1.56692485147,0.143759792422,0.000684181612747,2.03559250552,-0.00292563346143,0.941500476358,0.00503449823218,0.0,0.0,0.0,0.0,0.0,0.0,-0.0513822803348,-0.420752404625,-10.1383882781,-0.403873375156,-5.54598279424,-0.0329643114309,0.0378184665008,0.0301236214211
1624447981222860333,736,1624447981222777787,,iri_wam_joint_1,iri_wam_joint_2,iri_wam_joint_3,iri_wam_joint_4,iri_wam_joint_5,iri_wam_joint_6,iri_wam_joint_7,-1.56696137483,0.143759792422,0.000684181612747,2.03559250552,-0.0030837758107,0.941500476358,0.0049317533703,-0.018271712998,0.0,0.0,0.0,-0.0395573167998,0.0395573167997,0.0,-0.389059775755,-10.1436524577,-0.374047526647,-5.55747759722,-0.0274687165972,0.027911697989,0.0217200247767
1624447981223016424,737,1624447981223904444,,iri_wam_joint_1,iri_wam_joint_2,iri_wam_joint_3,iri_wam_joint_4,iri_wam_joint_5,iri_wam_joint_6,iri_wam_joint_7,-1.56692485147,0.143759792422,0.000684181612747,2.03550728437,-0.00300470463606,0.941421405184,0.00503449823218,0.0182586462187,0.0,0.0,-0.0426035078438,0.0395290278962,-0.0395290278962,0.0513639076481,-0.413489345394,-10.1110255395,-0.395612716887,-5.49243400885,-0.0547008274541,0.0633675997275,0.00574657488719
1624447981323055701,738,1624447981323912803,,iri_wam_joint_1,iri_wam_joint_2,iri_wam_joint_3,iri_wam_joint_4,iri_wam_joint_5,iri_wam_joint_6,iri_wam_joint_7,-1.56692485147,0.143759792422,0.000684181612747,2.03550728437,-0.00300470463606,0.941421405184,0.00503449823218,0.0,0.0,0.0,0.0,0.0,0.0,-0.0513822803348,-0.420544433088,-10.1349810139,-0.403642246876,-5.5374221521,-0.03168790739,0.0410100635152,0.0308116729862
1624447981323152503,739,1624447981324030388,,iri_wam_joint_1,iri_wam_joint_2,iri_wam_joint_3,iri_wam_joint_4,iri_wam_joint_5,iri_wam_joint_6,iri_wam_joint_7,-1.56692485147,0.143759792422,0.000684181612747,2.03550728437,-0.00300470463606,0.941421405184,0.00503449823218,0.0,0.0,0.0,0.0,0.0,0.0,-0.0513822803348,-0.420544433088,-10.1349810139,-0.403642246876,-5.5374221521,-0.03168790739,0.0410100635152,0.0308116729862
1624447981423194850,740,1624447981424046994,,iri_wam_joint_1,iri_wam_joint_2,iri_wam_joint_3,iri_wam_joint_4,iri_wam_joint_5,iri_wam_joint_6,iri_wam_joint_7,-1.56696137483,0.143759792422,0.000684181612747,2.03550728437,-0.0030837758107,0.941500476358,0.0049317533703,-0.0182673553273,0.0135792729867,0.0228131463158,-0.0426238290972,0.0,0.0,0.0,-0.408029346785,-10.1379695604,-0.391667014006,-5.51160486055,-0.0366214968988,0.0503396354185,0.0215216851616
1624447981423292618,741,1624447981424149312,,iri_wam_joint_1,iri_wam_joint_2,iri_wam_joint_3,iri_wam_joint_4,iri_wam_joint_5,iri_wam_joint_6,iri_wam_joint_7,-1.56696137483,0.143759792422,0.000684181612747,2.03550728437,-0.0030837758107,0.941500476358,0.0049317533703,-0.0182673553273,0.0135792729867,0.0228131463158,-0.0426238290972,0.0,0.0,0.0,-0.408029346785,-10.1379695604,-0.391667014006,-5.51160486055,-0.0366214968988,0.0503396354185,0.0215216851616
1624447981523284304,742,1624447981524149979,,iri_wam_joint_1,iri_wam_joint_2,iri_wam_joint_3,iri_wam_joint_4,iri_wam_joint_5,iri_wam_joint_6,iri_wam_joint_7,-1.56692485147,0.143759792422,0.000684181612747,2.03550728437,-0.00300470463606,0.941421405184,0.0049317533703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.41015017171,-10.1349550109,-0.393388658248,-5.53739497214,-0.0378209630705,0.04101201805,0.0204147698974
1624447981523394811,743,1624447981524252991,,iri_wam_joint_1,iri_wam_joint_2,iri_wam_joint_3,iri_wam_joint_4,iri_wam_joint_5,iri_wam_joint_6,iri_wam_joint_7,-1.56692485147,0.143759792422,0.000684181612747,2.03550728437,-0.00300470463606,0.941421405184,0.0049317533703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.41015017171,-10.1349550109,-0.393388658248,-5.53739497214,-0.0378209630705,0.04101201805,0.0204147698974
1624447981623507641,744,1624447981624298742,,iri_wam_joint_1,iri_wam_joint_2,iri_wam_joint_3,iri_wam_joint_4,iri_wam_joint_5,iri_wam_joint_6,iri_wam_joint_7,-1.56692485147,0.143759792422,0.000684181612747,2.03559250552,-0.00300470463606,0.941421405184,0.00513724309406,0.0182695339028,-0.0135808924587,0.022815867025,0.0,0.0,0.0,0.0513945360963,-0.433870921853,-10.1167013639,-0.413396598434,-5.53830109925,-0.0454670022801,0.0409760747307,0.0148598566657
1624447981623592442,745,1624447981624424137,,iri_wam_joint_1,iri_wam_joint_2,iri_wam_joint_3,iri_wam_joint_4,iri_wam_joint_5,iri_wam_joint_6,iri_wam_joint_7,-1.56692485147,0.143759792422,0.000684181612747,2.03559250552,-0.00300470463606,0.941421405184,0.00513724309406,0.0182695339028,-0.0135808924587,0.022815867025,0.0,0.0,0.0,0.0513945360963,-0.433870921853,-10.1167013639,-0.413396598434,-5.53830109925,-0.0454670022801,0.0409760747307,0.0148598566657
1624447981723525150,746,1624447981724376684,,iri_wam_joint_1,iri_wam_joint_2,iri_wam_joint_3,iri_wam_joint_4,iri_wam_joint_5,iri_wam_joint_6,iri_wam_joint_7,-1.56696137483,0.143759792422,0.000684181612747,2.03559250552,-0.0030837758107,0.941500476358,0.0049317533703,-0.018271712998,-0.0135825123171,0.0228185883832,0.0426339969954,-0.0395573167998,0.0395573167997,0.0,-0.409502738309,-10.1408218787,-0.39250734217,-5.58499540235,-0.0269895043385,0.0172823213498,0.0269649901488
1624447981723619679,747,1624447981724513300,,iri_wam_joint_1,iri_wam_joint_2,iri_wam_joint_3,iri_wam_joint_4,iri_wam_joint_5,iri_wam_joint_6,iri_wam_joint_7,-1.56696137483,0.143759792422,0.000684181612747,2.03559250552,-0.0030837758107,0.941500476358,0.0049317533703,-0.018271712998,-0.0135825123171,0.0228185883832,0.0426339969954,-0.0395573167998,0.0395573167997,0.0,-0.409502738309,-10.1408218787,-0.39250734217,-5.58499540235,-0.0269895043385,0.0172823213498,0.0269649901488
1624447981823666660,748,1624447981824506046,,iri_wam_joint_1,iri_wam_joint_2,iri_wam_joint_3,iri_wam_joint_4,iri_wam_joint_5,iri_wam_joint_6,iri_wam_joint_7,-1.56696137483,0.143759792422,0.000684181612747,2.03559250552,-0.0030837758107,0.941500476358,0.0049317533703,0.0,0.0,0.0,0.0426085863404,-0.0395337399033,0.0395337399033,0.0,-0.407360378825,-10.1622490338,-0.390418895186,-5.59088913045,-0.0267996843594,0.0154801318762,0.0259870951362
1624447981823766172,749,1624447981824611330,,iri_wam_joint_1,iri_wam_joint_2,iri_wam_joint_3,iri_wam_joint_4,iri_wam_joint_5,iri_wam_joint_6,iri_wam_joint_7,-1.56696137483,0.143759792422,0.000684181612747,2.03559250552,-0.0030837758107,0.941500476358,0.0049317533703,0.0,0.0,0.0,0.0426085863404,-0.0395337399033,0.0395337399033,0.0,-0.407360378825,-10.1622490338,-0.390418895186,-5.59088913045,-0.0267996843594,0.0154801318762,0.0259870951362
1624447981923789830,750,1624447981924629581,,iri_wam_joint_1,iri_wam_joint_2,iri_wam_joint_3,iri_wam_joint_4,iri_wam_joint_5,iri_wam_joint_6,iri_wam_joint_7,-1.56692485147,0.14373264232,0.00063856950523,2.03559250552,-0.00292563346143,0.941500476358,0.00503449823218,0.018273892613,-0.0271682651238,0.0,0.0,0.0,0.0,0.0514067977058,-0.410748441636,-10.0899842938,-0.392801227868,-5.53313069747,-0.0461808250357,0.041486571328,0.00979987079185
1624447981923881012,751,1624447981924730782,,iri_wam_joint_1,iri_wam_joint_2,iri_wam_joint_3,iri_wam_joint_4,iri_wam_joint_5,iri_wam_joint_6,iri_wam_joint_7,-1.56692485147,0.14373264232,0.00063856950523,2.03559250552,-0.00292563346143,0.941500476358,0.00503449823218,0.018273892613,-0.0271682651238,0.0,0.0,0.0,0.0,0.0514067977058,-0.410748441636,-10.0899842938,-0.392801227868,-5.53313069747,-0.0461808250357,0.041486571328,0.00979987079185
1624447982023918754,752,1624447982024734753,,iri_wam_joint_1,iri_wam_joint_2,iri_wam_joint_3,iri_wam_joint_4,iri_wam_joint_5,iri_wam_joint_6,iri_wam_joint_7,-1.56692485147,0.143759792422,0.000684181612747,2.03559250552,-0.00292563346143,0.941500476358,0.00513724309406,0.0182608227172,0.0,0.0,0.0426085863404,0.0395337399033,0.0395337399033,0.0513700304169,-0.412083930616,-10.1622405535,-0.394244517689,-5.59086875221,-0.0568922520819,0.0154900047193,0.00356565400429
1624447982024924230,753,1624447982024835562,,iri_wam_joint_1,iri_wam_joint_2,iri_wam_joint_3,iri_wam_joint_4,iri_wam_joint_5,iri_wam_joint_6,iri_wam_joint_7,-1.56692485147,0.143759792422,0.000684181612747,2.03559250552,-0.00292563346143,0.941500476358,0.00513724309406,0.0182608227172,0.0,0.0,0.0426085863404,0.0395337399033,0.0395337399033,0.0513700304169,-0.412083930616,-10.1622405535,-0.394244517689,-5.59086875221,-0.0568922520819,0.0154900047193,0.00356565400429
1624447982124950556,754,1624447982125784577,,iri_wam_joint_1,iri_wam_joint_2,iri_wam_joint_3,iri_wam_joint_4,iri_wam_joint_5,iri_wam_joint_6,iri_wam_joint_7,-1.56692485147,0.143759792422,0.000684181612747,2.03550728437,-0.0030837758107,0.941500476358,0.00503449823218,0.0,0.0,0.0,0.0,-0.0395573167998,0.0395573167997,0.0,-0.409862232184,-10.140452136,-0.392463603693,-5.55063064785,-0.0277958044841,0.02979302046,0.0249679848677
1624447982125116018,755,1624447982125964898,,iri_wam_joint_1,iri_wam_joint_2,iri_wam_joint_3,iri_wam_joint_4,iri_wam_joint_5,iri_wam_joint_6,iri_wam_joint_7,-1.56692485147,0.143759792422,0.000684181612747,2.03550728437,-0.00300470463606,0.941421405184,0.00513724309406,0.0,0.0,0.0,0.0,0.0395478826674,-0.0395478826674,0.0513884074848,-0.393638660094,-10.1296256821,-0.377708647527,-5.52584734949,-0.056285550735,0.0509034370704,-1.27259661435e-05
1624447982225271144,756,1624447982226029570,,iri_wam_joint_1,iri_wam_joint_2,iri_wam_joint_3,iri_wam_joint_4,iri_wam_joint_5,iri_wam_joint_6,iri_wam_joint_7,-1.56696137483,0.143759792422,0.000684181612747,2.03559250552,-0.00300470463606,0.941421405184,0.00503449823218,-0.0182412528906,0.0,0.0,0.0,0.0,0.0,0.0,-0.38626471591,-10.1381523592,-0.371925971086,-5.54423845991,-0.0392821931252,0.0391269503321,0.0140848272411
1624447982225357121,757,1624447982226153110,,iri_wam_joint_1,iri_wam_joint_2,iri_wam_joint_3,iri_wam_joint_4,iri_wam_joint_5,iri_wam_joint_6,iri_wam_joint_7,-1.56696137483,0.143759792422,0.000684181612747,2.03559250552,-0.00300470463606,0.941421405184,0.00503449823218,-0.0182412528906,0.0,0.0,0.0,0.0,0.0,0.0,-0.38626471591,-10.1381523592,-0.371925971086,-5.54423845991,-0.0392821931252,0.0391269503321,0.0140848272411
1624447982325304165,758,1624447982326104038,,iri_wam_joint_1,iri_wam_joint_2,iri_wam_joint_3,iri_wam_joint_4,iri_wam_joint_5,iri_wam_joint_6,iri_wam_joint_7,-1.56692485147,0.143759792422,0.000684181612747,2.03550728437,-0.00292563346143,0.941500476358,0.00513724309406,0.0,0.0135825123171,0.0228185883832,0.0,0.0395573167998,-0.0395573167997,0.0,-0.426242112337,-10.1512769418,-0.408189058563,-5.53349213035,-0.0500482001921,0.0477971222228,0.0164714863405
1624447982325433527,759,1624447982326257009,,iri_wam_joint_1,iri_wam_joint_2,iri_wam_joint_3,iri_wam_joint_4,iri_wam_joint_5,iri_wam_joint_6,iri_wam_joint_7,-1.56692485147,0.143759792422,0.000684181612747,2.03550728437,-0.00292563346143,0.941500476358,0.00513724309406,0.0,0.0135825123171,0.0228185883832,0.0,0.0395573167998,-0.0395573167997,0.0,-0.426242112337,-10.1512769418,-0.408189058563,-5.53349213035,-0.0500482001921,0.0477971222228,0.0164714863405
1624447982425380226,760,1624447982426237923,,iri_wam_joint_1,iri_wam_joint_2,iri_wam_joint_3,iri_wam_joint_4,iri_wam_joint_5,iri_wam_joint_6,iri_wam_joint_7,-1.56696137483,0.143786942525,0.00063856950523,2.03550728437,-0.00292563346143,0.941500476358,0.00503449823218,0.0,0.0135760352011,-0.0228077068437,0.0,0.0,0.0,0.0,-0.379937002172,-10.1620477547,-0.366206388488,-5.54604149955,-0.040213547343,0.0377944300108,0.0117400169992
1624447982425483221,761,1624447982426346014,,iri_wam_joint_1,iri_wam_joint_2,iri_wam_joint_3,iri_wam_joint_4,iri_wam_joint_5,iri_wam_joint_6,iri_wam_joint_7,-1.56696137483,0.143786942525,0.00063856950523,2.03550728437,-0.00292563346143,0.941500476358,0.00503449823218,0.0,0.0135760352011,-0.0228077068437,0.0,0.0,0.0,0.0,-0.379937002172,-10.1620477547,-0.366206388488,-5.54604149955,-0.040213547343,0.0377944300108,0.0117400169992
1624447982525537311,762,1624447982526377936,,iri_wam_joint_1,iri_wam_joint_2,iri_wam_joint_3,iri_wam_joint_4,iri_wam_joint_5,iri_wam_joint_6,iri_wam_joint_7,-1.56692485147,0.143759792422,0.000684181612747,2.03550728437,-0.0030837758107,0.941500476358,0.00513724309406,0.0,0.0,0.0,0.0,0.0,0.0,0.0513884074848,-0.394891682096,-10.1351240294,-0.378306275697,-5.53908440966,-0.0453659118876,0.0396859898392,0.00608145893435
1624447982525620372,763,1624447982526478519,,iri_wam_joint_1,iri_wam_joint_2,iri_wam_joint_3,iri_wam_joint_4,iri_wam_joint_5,iri_wam_joint_6,iri_wam_joint_7,-1.56692485147,0.143759792422,0.000684181612747,2.03550728437,-0.0030837758107,0.941500476358,0.00513724309406,0.0,0.0,0.0,0.0,0.0,0.0,0.0513884074848,-0.394891682096,-10.1351240294,-0.378306275697,-5.53908440966,-0.0453659118876,0.0396859898392,0.00608145893435
1624447982625626817,764,1624447982626465452,,iri_wam_joint_1,iri_wam_joint_2,iri_wam_joint_3,iri_wam_joint_4,iri_wam_joint_5,iri_wam_joint_6,iri_wam_joint_7,-1.56692485147,0.143759792422,0.000684181612747,2.03550728437,-0.0030837758107,0.941500476358,0.00503449823218,0.0,-0.0135760352011,0.0228077068437,0.0,0.0,0.0,0.0,-0.428816843563,-10.1137237929,-0.41007161969,-5.53321937463,-0.0369559327066,0.0415056739357,0.0247807954874
1624447982625715619,765,1624447982626569484,,iri_wam_joint_1,iri_wam_joint_2,iri_wam_joint_3,iri_wam_joint_4,iri_wam_joint_5,iri_wam_joint_6,iri_wam_joint_7,-1.56692485147,0.143759792422,0.000684181612747,2.03550728437,-0.0030837758107,0.941500476358,0.00503449823218,0.0,-0.0135760352011,0.0228077068437,0.0,0.0,0.0,0.0,-0.428816843563,-10.1137237929,-0.41007161969,-5.53321937463,-0.0369559327066,0.0415056739357,0.0247807954874
1624447982725730842,766,1624447982726595879,,iri_wam_joint_1,iri_wam_joint_2,iri_wam_joint_3,iri_wam_joint_4,iri_wam_joint_5,iri_wam_joint_6,iri_wam_joint_7,-1.56692485147,0.143759792422,0.000684181612747,2.03559250552,-0.00300470463606,0.941421405184,0.0049317533703,0.018271712998,0.0,0.0,0.0426339969954,-0.0395573167998,-0.0395573167997,-0.0514006661698,-0.441929882083,-10.1514760097,-0.422450434944,-5.5661382,-0.0204755067227,0.036610874441,0.0420282653869
1624447982725835449,767,1624447982726693924,,iri_wam_joint_1,iri_wam_joint_2,iri_wam_joint_3,iri_wam_joint_4,iri_wam_joint_5,iri_wam_joint_6,iri_wam_joint_7,-1.56692485147,0.143759792422,0.000684181612747,2.03559250552,-0.00300470463606,0.941421405184,0.0049317533703,0.018271712998,0.0,0.0,0.0426339969954,-0.0395573167998,-0.0395573167997,-0.0514006661698,-0.441929882083,-10.1514760097,-0.422450434944,-5.5661382,-0.0204755067227,0.036610874441,0.0420282653869
1624447982825872174,768,1624447982826694050,,iri_wam_joint_1,iri_wam_joint_2,iri_wam_joint_3,iri_wam_joint_4,iri_wam_joint_5,iri_wam_joint_6,iri_wam_joint_7,-1.56692485147,0.143786942525,0.00063856950523,2.03550728437,-0.00292563346143,0.941500476358,0.00503449823218,0.0,0.0,0.0,0.0,0.0790957653349,0.0,0.0,-0.40135576083,-10.1406423032,-0.386439347623,-5.54015772537,-0.0591372563497,0.0396148271058,0.00669392006642
1624447982825958503,769,1624447982826799687,,iri_wam_joint_1,iri_wam_joint_2,iri_wam_joint_3,iri_wam_joint_4,iri_wam_joint_5,iri_wam_joint_6,iri_wam_joint_7,-1.56692485147,0.143786942525,0.00063856950523,2.03550728437,-0.00292563346143,0.941500476358,0.00503449823218,0.0,0.0,0.0,0.0,0.0790957653349,0.0,0.0,-0.40135576083,-10.1406423032,-0.386439347623,-5.54015772537,-0.0591372563497,0.0396148271058,0.00669392006642
1624447982925979255,770,1624447982926813339,,iri_wam_joint_1,iri_wam_joint_2,iri_wam_joint_3,iri_wam_joint_4,iri_wam_joint_5,iri_wam_joint_6,iri_wam_joint_7,-1.56692485147,0.143759792422,0.000684181612747,2.03559250552,-0.00300470463606,0.941579547533,0.00503449823218,0.0,0.0,0.0,0.0426187469667,0.0395431672886,0.0395431672885,0.0,-0.407012205314,-10.1624717708,-0.390905566966,-5.59262345145,-0.0483814511551,0.0141551613814,0.0134895732053
1624447982927148544,771,1624447982928021007,,iri_wam_joint_1,iri_wam_joint_2,iri_wam_joint_3,iri_wam_joint_4,iri_wam_joint_5,iri_wam_joint_6,iri_wam_joint_7,-1.56692485147,0.143759792422,0.000684181612747,2.03559250552,-0.00300470463606,0.941579547533,0.00503449823218,0.0,0.0,0.0,0.0426187469667,0.0395431672886,0.0395431672885,0.0,-0.407012205314,-10.1624717708,-0.390905566966,-5.59262345145,-0.0483814511551,0.0141551613814,0.0134895732053
1624447983027183855,772,1624447983027997366,,iri_wam_joint_1,iri_wam_joint_2,iri_wam_joint_3,iri_wam_joint_4,iri_wam_joint_5,iri_wam_joint_6,iri_wam_joint_7,-1.56696137483,0.14373264232,0.00063856950523,2.03550728437,-0.00300470463606,0.941421405184,0.0049317533703,0.0,-0.0135808924587,-0.022815867025,0.0,0.039552599171,-0.039552599171,-0.0513945360963,-0.391680602636,-10.1027509975,-0.378394402652,-5.51901723033,-0.0406640785187,0.0527391715898,0.0204853354011
