ExpSetN,ExpSetName,ExpDate,NExp,NTrial,Ts,nSOM,nCOM,LastEpoch,NEpochs,NSamples,Simulation,MinRwd,Th_stiffness_x,Th_stiffness_y,Th_stiffness_z,Th_damping_x,Th_damping_y,Th_damping_z,Th_z_sum,Rwd
0,0_Optimized,--,0,0,0.01,10,4,0,0,0,OPT,0,-305.6028,-13.4221,-225.8987,-4.0042,-2.5735,-3.909,0.0312,-Inf
1,1_Old_NL_SOM,--,1,1,0.01,10,4,15,5,10,CL,-2,-301.608384944839,-13.8940954392656,-224.833820264911,-3.77079604160239,-2.80740962749975,-3.98592395260053,0.025235476944864,-Inf
1,1_Old_NL_SOM,--,2,1,0.01,10,4,30,10,10,CL,-2,-302.149427479653,-13.7817270381405,-220.108731176104,-4.2148348839682,-1.03749431505857,-3.69735628520368,0.0290568259726221,-Inf
1,1_Old_NL_SOM,--,3,1,0.01,10,4,30,10,10,CL,-2,-335.310277316105,-82.4562066456941,-314.596667580374,-4.14980995546549,-2.71880297849439,-3.89850372273264,0.0204123593975335,-Inf
1,1_Old_NL_SOM,--,4,1,0.01,10,4,40,20,30,OL,-100,-247.400794731178,-201.208854538731,-405.469774233733,-3.4820901160197,-3.16135550451284,-4.50564839436913,0.0150319022190901,-Inf
1,1_Old_NL_SOM,--,5,1,0.01,10,4,100,20,30,OL,-100,-306.311418349525,-25.1744579681099,-458.587817242076,-4.08300425203832,-2.82322407638648,-5.06906422255723,0.0134239315350527,-Inf
1,1_Old_NL_SOM,--,6,1,0.01,10,4,80,20,30,OL,-100,-307.9149447926,-301.139723964644,-460.442435209727,-3.93431430343527,-4.38803094291436,-5.05386861815991,0.0135096199834502,-Inf
1,1_Old_NL_SOM,--,7,1,0.01,10,4,100,20,30,OL,-100,-331.63612101115,-27.5885787632719,-442.800331441429,-4.22619215111382,-2.69433836692388,-4.8822067870927,0.0142422064092318,-Inf
3,3_Real_Cloth,2021_05_27,8,1,0.01,10,4,100,20,50,OL,-100,-418.990711091855,-217.892447517605,-470.241287996597,-5.01190023095695,-3.99214853296881,-5.25125941438437,0.00822763408618237,-56.2230120929639
3,3_Real_Cloth,2021_05_27,8,2,0.01,10,4,100,20,50,OL,-200,-316.004586964775,-190.004365687043,-318.985908735545,-3.97004417486929,-3.08090542946265,-3.9408882200646,0.0144495539892542,-103.992974432113
3,3_Real_Cloth,2021_05_27,8,2,0.015,10,4,200,20,50,OL,-200,-138.059769159521,-21.3425664016509,-141.770910382373,-2.86750324160316,-0.887961515822708,-2.89137094298739,0.0387179099559058,-107.016214829204
3,3_Real_Cloth,2021_05_27,8,2,0.02,10,4,100,20,50,OL,-200,-48.0537985870239,-41.3537540024231,-103.467116171792,-1.7162534301433,-1.34020690197943,-2.28455929992512,0.0603216874220861,-134.975675026321
4,4_Real_Cloth,2021_05_27,8,1,0.01,10,4,100,20,50,OL,-200,-463.229240108606,-219.372361738206,-453.908768583769,-5.24251373253819,-4.00592733717735,-5.18584900122509,0.0107721244091805,-28.3416058025378
4,4_Real_Cloth,2021_05_27,8,2,0.01,10,4,180,20,50,OL,-200,-378.661453980643,-393.236128836404,-407.099632921899,-4.82677613240068,-4.83873617992299,-4.92999896272119,0.0115696309179976,-35.7819861781483
4,4_Real_Cloth,2021_05_27,8,2,0.015,10,4,240,20,50,OL,-200,-20.1716709906729,-24.1059600097819,-141.646204253436,-1.92596012059573,-1.54231607040239,-2.91190894672081,0.0398143914224682,-34.1192742515362
4,4_Real_Cloth,2021_05_27,8,2,0.02,10,4,100,20,50,OL,-200,-47.0326525265821,-40.8416225708461,-92.9362145983036,-1.44850217792618,-1.58196793250663,-2.27501083173406,0.0686369553134912,-85.1222024546351
4,4_Real_Cloth,2021_05_27,9,1,0.01,10,4,100,20,50,OL,-200,-361.397876425305,-322.144471403926,-399.187157852701,-4.54977290101466,-4.23480461922605,-4.67597555547742,0.0149897982001175,-44.124834425089
4,4_Real_Cloth,2021_05_27,8,2,0.025,10,4,60,20,50,OL,-200,-33.6963734687799,-47.5885223746865,-60.2885402185887,-1.16537494080985,-1.53722270568271,-1.74121883568845,0.118073578026413,-121.701045144689
4,4_Real_Cloth,2021_05_27,9,2,0.01,10,4,120,20,50,OL,-200,-118.65051092969,-232.792210635971,-453.942458674339,-3.49445025936115,-3.9974456410373,-5.16212801017748,0.00947543297395937,-32.0626252239771
4,4_Real_Cloth,2021_05_27,9,3,0.01,10,4,120,20,50,OL,-200,-65.1998490849295,-208.745120348957,-419.003035785949,-3.25755521470535,-3.9484574981779,-5.0187520832841,0.0183845721251661,-34.6679833016787
4,4_Real_Cloth,2021_05_27,10,1,0.01,10,4,160,20,50,OL,-200,-10.6083592461382,-80.3855186976885,-296.469393376637,-2.38173657132475,-2.78068360431554,-4.13652313168317,0.0361989133548872,-142.332546236614
4,4_Real_Cloth,2021_05_27,11,1,0.01,10,4,300,20,50,OL,-200,-414.904015724514,-23.9981041470382,-432.344346797871,-4.90368009260853,-1.20552122246001,-5.00099026471765,0.0148762940934393,-51.0465617312875
4,4_Real_Cloth,2021_05_27,12,1,0.01,10,4,60,20,50,OL,-200,-217.778727154854,-171.538461548939,-329.85448209484,-3.63010952687226,-3.11527718679001,-4.23268400106045,0.0307748631649161,-133.892272432607
5,5_Real_Cloth,2021_05_27,8,1,0.01,13,7,200,20,50,OL,-1000,-220.687250685372,-89.9944460450305,-297.501218057164,-3.66740266469077,-3.06344591926196,-4.10527181389338,0.0958977743288255,-168.772609426128
